Iterações do Simplex
================================================================================
=== Iteracao: 0 ===
             VB        x1        x2        x3        x4        x5        x6        x7        x8        x9       x10       x11        w1        w2        w3        w4        w5        w6        w7        w8        w9       w10       w11       w12       w13       w14       w15       w16       w17       w18       w19       w20       w21       w22       w23       w24       w25       w26       w27       w28       w29        a1        a2         b
             w2     -3.10      1.81      8.43      0.00      0.00     -1.14      2.86      0.48     -0.48     -2.19     -7.71      0.00      1.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     -0.67      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     -0.57      0.00     11.48
             w3      5.89      1.44      3.00      0.00      0.00      5.33     -2.00     -3.44      3.44      4.78      3.67      0.00      0.00      1.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     -1.11      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.67      0.00     29.22
             w4      9.43      3.86      2.57      0.00      0.00     11.14      4.14      1.86     -1.86      6.86     -2.29      0.00      0.00      0.00      1.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     -1.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.57      0.00     38.86
             w5      5.86     -3.29      0.14      0.00      0.00      4.29      5.29     -4.29      4.29      4.71     -2.57      0.00      0.00      0.00      0.00      1.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     -1.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.14      0.00     39.71
             w6      0.67      2.33     -1.00      0.00      0.00      3.00      5.00     -1.33      1.33     -2.67     -7.00      0.00      0.00      0.00      0.00      0.00      1.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     -0.33      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     -1.00      0.00     20.67
             w7     10.30     -4.06     -1.86      0.00      0.00      7.95     -0.71      3.49     -3.49      3.60      3.76      0.00      0.00      0.00      0.00      0.00      0.00      1.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     -0.56      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.48      0.00     28.83
             w8      1.89      1.44     -0.00      0.00      0.00      5.33      5.00     -0.44      0.44      3.78      2.67      0.00      0.00      0.00      0.00      0.00      0.00      0.00      1.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     -0.11      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     -0.33      0.00     17.22
             w9     -1.30     -5.94      0.86      0.00      0.00      3.05      1.71      3.51     -3.51     -1.60      1.24      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      1.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     -0.44      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     -0.48      0.00     59.17
            w10      2.44     -4.78     -7.00      0.00      0.00     10.67      6.00      7.78     -7.78      6.89      8.33      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      1.00      0.00      0.00      0.00      0.00      0.00      0.00     -0.56      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.33      0.00     35.11
            w11     -2.40      0.87      7.29      0.00      0.00      6.90      1.57      3.98     -3.98     -5.79     -1.48      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      1.00      0.00      0.00      0.00      0.00      0.00     -0.11      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     -1.05      0.00     80.65
            w12      2.89      1.44     -1.00      0.00      0.00      4.33      3.00     -2.44      2.44      3.78      1.67      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      1.00      0.00      0.00      0.00      0.00     -1.11      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.67      0.00     45.22
            w13      7.43     -7.14      0.57      0.00      0.00      5.14      6.14      4.86     -4.86      5.86     -1.29      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      1.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     -0.43      0.00     61.86
            w14      4.71     -3.57     -2.71      0.00      0.00      6.57      1.57     -2.57      2.57     -2.57     -1.14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      1.00      0.00      0.00     -1.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.29      0.00      9.43
            w15      6.22     -4.89      1.00      0.00      0.00      6.33     -0.00      5.89     -5.89      3.44      7.67      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      1.00      0.00     -0.78      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.67      0.00     25.56
            w16      0.35     -4.97     -4.57      0.00      0.00      4.52      7.86      0.25     -0.25      0.70      1.62      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      1.00     -0.22      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     -0.24      0.00     21.59
             x5     -0.46     -0.59     -0.43      0.00      1.00     -0.19      0.14      0.30     -0.30      0.08      0.05      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.11      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     -0.10      0.00      2.63
            w18      1.67     -3.67      2.00      0.00      0.00      1.00      4.00     -6.33      6.33     -4.67     -4.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     -0.33      1.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     -1.00      0.00     72.67
            w19      2.00     -1.00      4.00      0.00      0.00      2.00     -3.00     -4.00      4.00      5.00     -9.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     -1.00      0.00      1.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     72.00
            w20      2.73     -2.21      4.71      0.00      0.00      8.10      3.43     -6.65      6.65     -1.54    -12.52      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     -0.56      0.00      0.00      1.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     -0.95      0.00     22.68
            w21     -6.19     -4.38      9.86      0.00      0.00      3.71      1.71     -2.05      2.05      1.62    -10.43      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     -0.33      0.00      0.00      0.00      1.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     -1.14      0.00     62.95
            w22      2.84      1.35      1.71      0.00      0.00      8.76      2.43     -5.21      5.21     -2.32     -2.19      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     -0.44      0.00      0.00      0.00      0.00      1.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     -0.62      0.00     71.46
            w23     -1.29      1.43     -4.71      0.00      0.00      8.57      4.57      6.43     -6.43      2.43      2.86      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      1.00      0.00      0.00      0.00      0.00      0.00      0.00     -0.71      0.00      3.43
            w24      3.65      2.97      6.57      0.00      0.00      5.48      5.14     -4.25      4.25     -7.70     -9.62      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     -0.78      0.00      0.00      0.00      0.00      0.00      0.00      1.00      0.00      0.00      0.00      0.00      0.00     -0.76      0.00     71.41
            w25      2.29     -6.43     -5.29      0.00      0.00      0.43      5.43     -1.43      1.43      8.57      3.14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      1.00      0.00      0.00      0.00      0.00     -0.29      0.00     66.57
            w26      1.02      4.37      4.43      0.00      0.00      6.52      7.86     -0.08      0.08      1.03      2.62      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     -0.56      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      1.00      0.00      0.00      0.00     -0.24      0.00     37.25
            w27      0.89     -1.56      5.00      0.00      0.00      3.33      1.00     -3.44      3.44     -0.22     -4.33      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     -1.11      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      1.00      0.00      0.00     -0.33      0.00     15.22
            w28      1.43      0.86     -5.43      0.00      0.00      6.14      3.14      2.86     -2.86      7.86      0.71      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      1.00      0.00     -0.43      0.00     41.86
             a2     -0.70      0.94      6.14      0.00      0.00      1.95      2.29     -3.51      3.51     -2.40     -8.24      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     -0.56      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     -1.00     -0.52      1.00     19.83
              Z 698416.71-936505.57-6142858.71      0.00      0.00-1952385.43-2285712.433507933.43-3507933.432396822.438238098.86      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00 555556.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.001000000.001523810.29      0.00-19825380.57

=== Iteracao: 3 ===
             VB        x1        x2        x3        x4        x5        x6        x7        x8        x9       x10       x11        w1        w2        w3        w4        w5        w6        w7        w8        w9       w10       w11       w12       w13       w14       w15       w16       w17       w18       w19       w20       w21       w22       w23       w24       w25       w26       w27       w28       w29        a1        a2         b
             x4      0.54     -0.10      0.00      1.00      0.00      0.17      0.58      0.76     -0.76      0.49      0.64      0.00      0.10      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     -0.07      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.08      0.00      1.88
             w1     -6.70     -4.45      0.00      0.00      0.00      0.86      1.34     -1.28      1.28     -0.93     -5.92      1.00      0.12      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     -0.41      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     -1.07      0.00     47.03
             x3     -0.37      0.21      1.00      0.00      0.00     -0.14      0.34      0.06     -0.06     -0.26     -0.92      0.00      0.12      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     -0.08      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     -0.07      0.00      1.36
             w3      6.99      0.80      0.00      0.00      0.00      5.74     -3.02     -3.61      3.61      5.56      6.41      0.00     -0.36      1.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     -0.87      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.87      0.00     25.14
             w4     10.37      3.31      0.00      0.00      0.00     11.49      3.27      1.71     -1.71      7.53      0.07      0.00     -0.31      0.00      1.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     -0.80      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.75      0.00     35.36
             w5      5.91     -3.32      0.00      0.00      0.00      4.31      5.24     -4.29      4.29      4.75     -2.44      0.00     -0.02      0.00      0.00      1.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     -0.99      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.15      0.00     39.52
             w6      0.30      2.55      0.00      0.00      0.00      2.86      5.34     -1.28      1.28     -2.93     -7.92      0.00      0.12      0.00      0.00      0.00      1.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     -0.41      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     -1.07      0.00     22.03
             w7      9.62     -3.66      0.00      0.00      0.00      7.70     -0.08      3.60     -3.60      3.12      2.06      0.00      0.22      0.00      0.00      0.00      0.00      1.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     -0.70      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.35      0.00     31.35
             w8      1.89      1.44      0.00      0.00      0.00      5.33      5.00     -0.44      0.44      3.78      2.67      0.00      0.00      0.00      0.00      0.00      0.00      0.00      1.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     -0.11      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     -0.33      0.00     17.22
             w9     -0.99     -6.12      0.00      0.00      0.00      3.16      1.42      3.46     -3.46     -1.38      2.02      0.00     -0.10      0.00      0.00      0.00      0.00      0.00      0.00      1.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     -0.38      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     -0.42      0.00     58.01
            w10     -0.13     -3.27      0.00      0.00      0.00      9.72      8.37      8.17     -8.17      5.07      1.93      0.00      0.83      0.00      0.00      0.00      0.00      0.00      0.00      0.00      1.00      0.00      0.00      0.00      0.00      0.00      0.00     -1.11      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     -0.14      0.00     44.64
            w11      0.28     -0.69      0.00      0.00      0.00      7.89     -0.90      3.57     -3.57     -3.90      5.19      0.00     -0.86      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      1.00      0.00      0.00      0.00      0.00      0.00      0.47      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     -0.55      0.00     70.73
            w12      2.52      1.66      0.00      0.00      0.00      4.20      3.34     -2.39      2.39      3.52      0.75      0.00      0.12      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      1.00      0.00      0.00      0.00      0.00     -1.19      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.60      0.00     46.58
            w13      7.64     -7.27      0.00      0.00      0.00      5.22      5.95      4.82     -4.82      6.01     -0.76      0.00     -0.07      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      1.00      0.00      0.00      0.00      0.05      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     -0.39      0.00     61.08
            w14      3.72     -2.99      0.00      0.00      0.00      6.20      2.49     -2.42      2.42     -3.28     -3.63      0.00      0.32      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      1.00      0.00      0.00     -1.21      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.10      0.00     13.12
            w15      6.59     -5.10      0.00      0.00      0.00      6.47     -0.34      5.83     -5.83      3.70      8.58      0.00     -0.12      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      1.00      0.00     -0.70      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.73      0.00     24.19
            w16     -1.33     -3.99      0.00      0.00      0.00      3.90      9.41      0.51     -0.51     -0.49     -2.56      0.00      0.54      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      1.00     -0.58      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     -0.55      0.00     27.81
             x5     -0.62     -0.50      0.00      0.00      1.00     -0.25      0.29      0.33     -0.33     -0.03     -0.34      0.00      0.05      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.08      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     -0.12      0.00      3.22
            w18      2.40     -4.10      0.00      0.00      0.00      1.27      3.32     -6.45      6.45     -4.15     -2.17      0.00     -0.24      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     -0.18      1.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     -0.86      0.00     69.94
            w19      3.47     -1.86      0.00      0.00      0.00      2.54     -4.36     -4.23      4.23      6.04     -5.34      0.00     -0.47      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     -0.68      0.00      1.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.27      0.00     66.55
            w20      4.46     -3.22      0.00      0.00      0.00      8.73      1.83     -6.92      6.92     -0.31     -8.21      0.00     -0.56      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     -0.18      0.00      0.00      1.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     -0.63      0.00     16.26
            w21     -2.57     -6.50      0.00      0.00      0.00      5.05     -1.63     -2.60      2.60      4.18     -1.41      0.00     -1.17      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.45      0.00      0.00      0.00      1.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     -0.47      0.00     49.53
            w22      3.47      0.98      0.00      0.00      0.00      8.99      1.85     -5.30      5.30     -1.87     -0.62      0.00     -0.20      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     -0.31      0.00      0.00      0.00      0.00      1.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     -0.50      0.00     69.13
            w23     -3.02      2.44      0.00      0.00      0.00      7.93      6.17      6.69     -6.69      1.20     -1.46      0.00      0.56      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     -0.37      0.00      0.00      0.00      0.00      0.00      1.00      0.00      0.00      0.00      0.00      0.00      0.00     -1.03      0.00      9.85
            w24      6.06      1.56      0.00      0.00      0.00      6.37      2.92     -4.63      4.63     -5.99     -3.60      0.00     -0.78      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     -0.26      0.00      0.00      0.00      0.00      0.00      0.00      1.00      0.00      0.00      0.00      0.00      0.00     -0.32      0.00     62.47
            w25      0.34     -5.29      0.00      0.00      0.00     -0.29      7.22     -1.13      1.13      7.20     -1.69      0.00      0.63      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     -0.42      0.00      0.00      0.00      0.00      0.00      0.00      0.00      1.00      0.00      0.00      0.00      0.00     -0.64      0.00     73.77
            w26      2.64      3.41      0.00      0.00      0.00      7.12      6.36     -0.33      0.33      2.18      6.67      0.00     -0.53      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     -0.21      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      1.00      0.00      0.00      0.00      0.06      0.00     31.22
            w27      2.73     -2.63      0.00      0.00      0.00      4.01     -0.69     -3.73      3.73      1.08      0.24      0.00     -0.59      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     -0.72      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      1.00      0.00      0.00      0.01      0.00      8.41
            w28     -0.56      2.02      0.00      0.00      0.00      5.41      4.98      3.16     -3.16      6.45     -4.25      0.00      0.64      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     -0.43      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      1.00      0.00     -0.80      0.00     49.25
             a2      1.56     -0.38      0.00      0.00      0.00      2.79      0.20     -3.85      3.85     -0.80     -2.62      0.00     -0.73      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     -0.07      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     -1.00     -0.11      1.00     11.46
              Z-1557435.36 382300.25      0.00      0.00      0.00-2785315.42-203387.443854987.59-3854987.59 800373.272615821.39      0.00 728813.75      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00  69680.17      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.001000000.001107345.29      0.00-11461375.20

=== Iteracao: 4 ===
             VB        x1        x2        x3        x4        x5        x6        x7        x8        x9       x10       x11        w1        w2        w3        w4        w5        w6        w7        w8        w9       w10       w11       w12       w13       w14       w15       w16       w17       w18       w19       w20       w21       w22       w23       w24       w25       w26       w27       w28       w29        a1        a2         b
             x4      1.10     -0.64      0.00      1.00      0.00      0.99      0.43      0.00      0.00      0.71      0.69      0.00     -0.02      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     -0.21      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.20      0.00      0.00      0.09      0.00      3.60
             w1     -7.63     -3.55      0.00      0.00      0.00     -0.51      1.58      0.00      0.00     -1.30     -6.00      1.00      0.32      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     -0.17      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     -0.34      0.00      0.00     -1.07      0.00     44.15
             x3     -0.33      0.17      1.00      0.00      0.00     -0.07      0.33      0.00      0.00     -0.24     -0.91      0.00      0.11      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     -0.09      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.02      0.00      0.00     -0.07      0.00      1.49
             w3      4.35      3.35      0.00      0.00      0.00      1.85     -2.34      0.00      0.00      4.51      6.18      0.00      0.22      1.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     -0.18      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     -0.97      0.00      0.00      0.86      0.00     16.98
             w4     11.62      2.10      0.00      0.00      0.00     13.33      2.95      0.00      0.00      8.02      0.18      0.00     -0.58      0.00      1.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     -1.13      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.46      0.00      0.00      0.75      0.00     39.22
             w5      2.77     -0.29      0.00      0.00      0.00     -0.32      6.04      0.00      0.00      3.51     -2.72      0.00      0.67      0.00      0.00      1.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     -0.16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     -1.15      0.00      0.00      0.15      0.00     29.83
             w6     -0.63      3.45      0.00      0.00      0.00      1.49      5.58      0.00      0.00     -3.30     -8.00      0.00      0.32      0.00      0.00      0.00      1.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     -0.17      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     -0.34      0.00      0.00     -1.07      0.00     19.15
             w7     12.25     -6.20      0.00      0.00      0.00     11.57     -0.76      0.00      0.00      4.16      2.30      0.00     -0.35      0.00      0.00      0.00      0.00      1.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     -1.39      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.97      0.00      0.00      0.36      0.00     39.47
             w8      1.56      1.76      0.00      0.00      0.00      4.85      5.08      0.00      0.00      3.65      2.64      0.00      0.07      0.00      0.00      0.00      0.00      0.00      1.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     -0.03      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     -0.12      0.00      0.00     -0.33      0.00     16.22
             w9      1.54     -8.56      0.00      0.00      0.00      6.89      0.78      0.00      0.00     -0.38      2.25      0.00     -0.65      0.00      0.00      0.00      0.00      0.00      0.00      1.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     -1.04      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.93      0.00      0.00     -0.41      0.00     65.82
            w10      5.85     -9.04      0.00      0.00      0.00     18.51      6.85      0.00      0.00      7.43      2.46      0.00     -0.47      0.00      0.00      0.00      0.00      0.00      0.00      0.00      1.00      0.00      0.00      0.00      0.00      0.00      0.00     -2.68      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      2.19      0.00      0.00     -0.13      0.00     63.09
            w11      2.89     -3.21      0.00      0.00      0.00     11.74     -1.56      0.00      0.00     -2.87      5.42      0.00     -1.43      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      1.00      0.00      0.00      0.00      0.00      0.00     -0.22      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.96      0.00      0.00     -0.55      0.00     78.80
            w12      0.78      3.34      0.00      0.00      0.00      1.63      3.78      0.00      0.00      2.83      0.60      0.00      0.50      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      1.00      0.00      0.00      0.00      0.00     -0.73      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     -0.64      0.00      0.00      0.60      0.00     41.19
            w13     11.17    -10.67      0.00      0.00      0.00     10.41      5.05      0.00      0.00      7.40     -0.45      0.00     -0.84      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      1.00      0.00      0.00      0.00     -0.88      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      1.29      0.00      0.00     -0.38      0.00     71.97
